# Co, V, Zr, FWHM, peak_position
3.059999999999999787e+01,2.340000000000000213e+01,4.600000000000000000e+01,6.039999999999999813e-01,2.600000000000000089e+00
3.320000000000000284e+01,2.240000000000000213e+01,4.439999999999999858e+01,6.300000000000000044e-01,2.609999999999999876e+00
3.939999999999999858e+01,2.130000000000000071e+01,3.930000000000000426e+01,7.139999999999999680e-01,2.669999999999999929e+00
4.610000000000000142e+01,1.980000000000000071e+01,3.410000000000000142e+01,7.970000000000000417e-01,2.759999999999999787e+00
5.310000000000000142e+01,1.800000000000000000e+01,2.899999999999999645e+01,7.740000000000000213e-01,2.879999999999999893e+00
5.689999999999999147e+01,1.719999999999999929e+01,2.590000000000000213e+01,6.939999999999999503e-01,2.939999999999999947e+00
6.060000000000000142e+01,1.640000000000000213e+01,2.300000000000000000e+01,5.839999999999999636e-01,3.000000000000000000e+00
6.810000000000000853e+01,1.489999999999999858e+01,1.700000000000000000e+01,4.879999999999999893e-01,3.069999999999999840e+00
7.170000000000000284e+01,1.409999999999999787e+01,1.419999999999999929e+01,4.590000000000000191e-01,3.100000000000000089e+00
7.490000000000000568e+01,1.330000000000000071e+01,1.179999999999999893e+01,4.359999999999999987e-01,3.120000000000000107e+00
7.790000000000000568e+01,1.269999999999999929e+01,9.370000000000000995e+00,4.089999999999999747e-01,3.140000000000000124e+00
1.011369520000000044e+01,2.759785850000000096e+01,6.228844629999999682e+01,4.319999999999999951e-01,2.529999999999999805e+00
1.409081520000000154e+01,2.676396679999999861e+01,5.914521799999999985e+01,4.450000000000000067e-01,2.529999999999999805e+00
2.134817250000000044e+01,2.537476390000000137e+01,5.327706349999999702e+01,4.839999999999999858e-01,2.540000000000000036e+00
3.115967949999999931e+01,2.290921360000000107e+01,4.593110690000000318e+01,5.899999999999999689e-01,2.560000000000000053e+00
3.381380569999999608e+01,2.243950410000000062e+01,4.374669019999999620e+01,6.380000000000000115e-01,2.580000000000000071e+00
3.657017989999999941e+01,2.189328989999999919e+01,4.153653020000000140e+01,6.750000000000000444e-01,2.600000000000000089e+00
3.941394050000000249e+01,2.127451699999999946e+01,3.931154250000000161e+01,6.969999999999999529e-01,2.629999999999999893e+00
4.232607660000000038e+01,2.058907149999999930e+01,3.708485189999999676e+01,7.510000000000000009e-01,2.669999999999999929e+00
4.528642959999999817e+01,1.984389840000000049e+01,3.486967200000000133e+01,7.790000000000000258e-01,2.720000000000000195e+00
5.626646199999999709e+01,1.744367769999999851e+01,2.628986030000000085e+01,7.399999999999999911e-01,2.910000000000000142e+00
